Title,Authors,url,Keywords
Reward Identification in Inverse Reinforcement Learning,"['Kuno Kim', ' Shivam Garg', ' Kirankumar Shiragur', ' Stefano Ermon']",https://icml.cc/virtual/2021/poster/10341,[]
Bayesian Deep Learning via Subnetwork Inference,"['Erik Daxberger', ' Eric Nalisnick', ' James Allingham', ' Javier Antorán', ' Jose Miguel Hernandez-Lobato']",https://icml.cc/virtual/2021/poster/9939,[]
GNNAutoScale: Scalable and Expressive Graph Neural Networks via Historical Embeddings,"['Matthias Fey', ' Jan Eric Lenssen', ' Frank Weichert', ' Jure Leskovec']",https://icml.cc/virtual/2021/poster/10757,[]
Monte Carlo Variational Auto-Encoders,"['Achille Thin', ' Nikita Kotelevskii', ' Arnaud Doucet', ' Alain Durmus', ' Eric Moulines', ' Maxim Panov']",https://icml.cc/virtual/2021/poster/8527,[]
Deep Coherent Exploration for Continuous Control,"['Yijie Zhang', ' Herke van Hoof']",https://icml.cc/virtual/2021/poster/9225,[]
Problem Dependent View on Structured Thresholding Bandit Problems,"['James Cheshire', ' Pierre MENARD', ' Alexandra Carpentier']",https://icml.cc/virtual/2021/poster/10401,[]
LAMDA: Label Matching Deep Domain Adaptation,"['Trung Le', ' Tuan Nguyen', ' Nhat Ho', ' Hung Bui', ' Dinh Phung']",https://icml.cc/virtual/2021/poster/10721,[]
Neighborhood Contrastive Learning Applied to Online Patient Monitoring,"['Hugo Yèche', ' Gideon Dresdner', ' Francesco Locatello', ' Matthias Hüser', ' Gunnar Rätsch']",https://icml.cc/virtual/2021/poster/9349,[]
Sample-Optimal PAC Learning of Halfspaces with Malicious Noise,['Jie Shen'],https://icml.cc/virtual/2021/poster/9095,[]
AdaXpert: Adapting Neural Architecture for Growing Data,"['Shuaicheng Niu', ' Jiaxiang Wu', ' Guanghui Xu', ' Yifan Zhang', ' Yong Guo', ' Peilin Zhao', ' Peng Wang', ' Mingkui Tan']",https://icml.cc/virtual/2021/poster/8621,[]
The Earth Mover's Pinball Loss: Quantiles for Histogram-Valued Regression,['Florian List'],https://icml.cc/virtual/2021/poster/9859,[]
Robust Testing and Estimation under Manipulation Attacks,"['Jayadev Acharya', ' Ziteng Sun', ' Huanyu Zhang']",https://icml.cc/virtual/2021/poster/9361,[]
A Tale of Two Efficient and Informative Negative Sampling Distributions,"['Shabnam Daghaghi', ' Tharun Medini', ' Nicholas Meisburger', ' Beidi Chen', ' Mengnan Zhao', ' Anshumali Shrivastava']",https://icml.cc/virtual/2021/poster/9735,[]
Reserve Price Optimization for First Price Auctions in Display Advertising,"['Zhe Feng', ' Sébastien Lahaie', ' Jon Schneider', ' Jinchao Ye']",https://icml.cc/virtual/2021/poster/9295,[]
Soft then Hard: Rethinking the Quantization in Neural Image Compression,"['Zongyu Guo', ' Zhizheng Zhang', ' Runsen Feng', ' Zhibo Chen']",https://icml.cc/virtual/2021/poster/8433,[]
Online Learning in Unknown Markov Games,"['Yi Tian', ' Yuanhao Wang', ' Tiancheng Yu', ' Suvrit Sra']",https://icml.cc/virtual/2021/poster/9341,[]
Hierarchical VAEs Know What They Don’t Know,"['Jakob D. Havtorn', ' Jes Frellsen', ' Søren Hauberg', ' Lars Maaløe']",https://icml.cc/virtual/2021/poster/9665,[]
Sparse and Imperceptible Adversarial Attack via a Homotopy Algorithm,"['Mingkang Zhu', ' Tianlong Chen', ' Zhangyang Wang']",https://icml.cc/virtual/2021/poster/10035,[]
Relative Deviation Margin Bounds,"['Corinna Cortes', ' Mehryar Mohri', ' Ananda Theertha Suresh']",https://icml.cc/virtual/2021/poster/10193,[]
Class2Simi: A Noise Reduction Perspective on Learning with Noisy Labels,"['Songhua Wu', ' Xiaobo Xia', ' Tongliang Liu', ' Bo Han', ' Mingming Gong', ' Nannan Wang', ' Haifeng Liu', ' Gang Niu']",https://icml.cc/virtual/2021/poster/9641,[]
Conformal prediction interval for dynamic time-series,"['Chen Xu', ' Yao Xie']",https://icml.cc/virtual/2021/poster/10469,[]
Neural Symbolic Regression that scales,"['Luca Biggio', ' Tommaso Bendinelli', ' Alexander Neitz', ' Aurelien Lucchi', ' Giambattista Parascandolo']",https://icml.cc/virtual/2021/poster/9713,[]
Systematic Analysis of Cluster Similarity Indices: How to Validate Validation Measures,"['Martijn Gösgens', ' Aleksei Tikhonov', ' Liudmila Prokhorenkova']",https://icml.cc/virtual/2021/poster/8429,[]
Temporal Difference Learning as Gradient Splitting,"['Rui Liu', ' Alex Olshevsky']",https://icml.cc/virtual/2021/poster/10519,[]
Multi-layered Network Exploration via Random Walks: From Offline Optimization to Online Learning,"['Xutong Liu', ' Jinhang Zuo', ' Xiaowei Chen', ' Wei Chen', ' John C. S. Lui']",https://icml.cc/virtual/2021/poster/8749,[]
Grey-box Extraction of Natural Language Models,"['Santiago Zanella-Beguelin', ' Shruti Tople', ' Andrew Paverd', ' Boris Köpf']",https://icml.cc/virtual/2021/poster/8783,[]
Locally Private k-Means in One Round,"['Alisa Chang', ' Badih Ghazi', ' Ravi Kumar', ' Pasin Manurangsi']",https://icml.cc/virtual/2021/poster/8515,[]
A Regret Minimization Approach to Iterative Learning Control,"['Naman Agarwal', ' Elad Hazan', ' Anirudha Majumdar', ' Karan Singh']",https://icml.cc/virtual/2021/poster/9817,[]
Dichotomous Optimistic Search to Quantify Human Perception,['Julien Audiffren'],https://icml.cc/virtual/2021/poster/8599,[]
Optimal Non-Convex Exact Recovery in Stochastic Block Model via Projected Power Method,"['Peng Wang', ' Huikang Liu', ' Zirui Zhou', ' Anthony Man-Cho So']",https://icml.cc/virtual/2021/poster/10669,[]
Accelerated Algorithms for Smooth Convex-Concave Minimax Problems with O(1/k^2) Rate on Squared Gradient Norm,"['TaeHo Yoon', ' Ernest Ryu']",https://icml.cc/virtual/2021/poster/10227,[]
Thinking Like Transformers,"['Gail Weiss', ' Yoav Goldberg', ' Eran Yahav']",https://icml.cc/virtual/2021/poster/9995,[]
Convex Regularization in Monte-Carlo Tree Search,"['Tuan Q Dam', "" Carlo D'Eramo"", ' Jan Peters', ' Joni Pajarinen']",https://icml.cc/virtual/2021/poster/10667,[]
KO codes: inventing nonlinear encoding and decoding for reliable wireless communication via deep-learning,"['Ashok Vardhan Makkuva', ' Xiyang Liu', ' Mohammad Vahid Jamali', ' Hessam Mahdavifar', ' Sewoong Oh', ' Pramod Viswanath']",https://icml.cc/virtual/2021/poster/8623,[]
Three Operator Splitting with a Nonconvex Loss Function,"['Alp Yurtsever', ' Varun Mangalick', ' Suvrit Sra']",https://icml.cc/virtual/2021/poster/9695,[]
Segmenting Hybrid Trajectories using Latent ODEs,"['Ruian Shi', ' Quaid Morris']",https://icml.cc/virtual/2021/poster/9545,[]
GeomCA: Geometric Evaluation of Data Representations,"['Petra Poklukar', ' Anastasiia Varava', ' Danica Kragic']",https://icml.cc/virtual/2021/poster/9663,[]
Synthesizer: Rethinking Self-Attention for Transformer Models,"['Yi Tay', ' Dara Bahri', ' Don Metzler', ' Da-Cheng Juan', ' Zhe Zhao', ' Che Zheng']",https://icml.cc/virtual/2021/poster/9307,[]
Uncertainty Principles of Encoding GANs,"['Ruili Feng', ' Zhouchen Lin', ' jiapeng zhu', ' Deli Zhao', ' Jingren Zhou', ' Zheng-Jun Zha']",https://icml.cc/virtual/2021/poster/9053,[]
Outside the Echo Chamber: Optimizing the Performative Risk,"['John Miller', ' Juan Perdomo', ' Tijana Zrnic']",https://icml.cc/virtual/2021/poster/9029,[]
Diversity Actor-Critic: Sample-Aware Entropy Regularization for Sample-Efficient Exploration,"['Seungyul Han', ' Youngchul Sung']",https://icml.cc/virtual/2021/poster/10269,[]
Adversarial Purification with Score-based Generative Models,"['Jongmin Yoon', ' Sung Ju Hwang', ' Juho Lee']",https://icml.cc/virtual/2021/poster/10745,[]
Adapting to Delays and Data in Adversarial Multi-Armed Bandits,"['András György', ' Pooria Joulani']",https://icml.cc/virtual/2021/poster/9277,[]
Examining and Combating Spurious Features under Distribution Shift,"['Chunting Zhou', ' Xuezhe Ma', ' Paul Michel', ' Graham Neubig']",https://icml.cc/virtual/2021/poster/9131,[]
Learning Routines for Effective Off-Policy Reinforcement Learning,"['Edoardo Cetin', ' Oya Celiktutan']",https://icml.cc/virtual/2021/poster/9365,[]
